function oneThroughTwenty;;;;;
;cont;cont <= numeros;recebe = [ ];i++;return
;1;true;1;1 + 1 = 2;-
;2;true;2;2 + 1 = 3;-
;3;true;3;3 + 1 = 4;-
;4;true;4;4 + 1 = 5;-
;5;true;5;5 + 1 = 6;-
;6;true;6;6 + 1 = 7;-
;7;true;7;7 + 1 = 8;-
;8;true;8;8 + 1 = 9;-
;9;true;9;9 + 1 = 10;-
;10;true;10;10 + 1 = 11;-
;11;true;11;11 + 1 = 12;-
;12;true;12;12 + 1 = 13;-
;13;true;13;13 + 1 = 14;-
;14;true;14;14 + 1 = 15;-
;15;true;15;15 + 1 = 16;-
;16;true;16;16 + 1 = 17;-
;17;true;17;17 + 1 = 18;-
;18;true;18;18 + 1 = 19;-
;19;true;19;19 + 1 = 20;-
;20;true;20;20 + 1 = 21;-
;21;false;-;-;[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]
;;;;;
;;console.log(oneThroughTwenty(20));;;
;;[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20];;;
