multiplesOfFive;;;;;
;i;i <= numerosMultiplos;recebeNumeros = [ ];i += 5;return
;5;true;5;5 + 5 = 10;-
;10;true;10;10 + 5 = 15;-
;15;true;15;15 + 5 = 20;-
;20;true;20;20 + 5 = 25;-
;25;true;25;25 + 5 = 30;-
;30;true;30;30 + 5 = 35;-
;35;true;35;35 + 5 = 40;-
;40;true;40;40 + 5 = 45;-
;45;true;45;45 + 5 = 50;-
;50;true;50;50 + 5 = 55;-
;55;true;55;55 + 5 = 60;-
;60;true;60;60 + 5 = 65;-
;65;true;65;65 + 5 = 70;-
;70;true;70;70 + 5 = 75;-
;75;true;75;75 + 5 = 80;-
;80;true;80;80 + 5 = 85;-
;85;true;85;85 + 5 = 90;-
;90;true;90;90 + 5 = 95;-
;95;true;95;95 + 5 = 100;-
;100;true;100;100 + 5 = 105;-
;105;false;-;-;[5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100]
;;;;;
;;;console.log(multiplesOfFive(100));;
;;;[5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100];;
